         _id            timestamp  ... device  label
11404  11405  2019-07-21 18:20:54  ...  iPhone       
11405  11406  2019-07-21 18:33:49  ...  iPhone       
11406  11407  2019-07-21 18:43:48  ...  iPhone       
11407  11408  2019-07-21 19:16:24  ...  iPhone       
11408  11409  2019-07-21 19:26:36  ...  iPhone       
11409  11410  2019-07-21 19:38:20  ...  iPhone       
11410  11411  2019-07-21 20:35:18  ...  iPhone       
11411  11412  2019-07-21 21:22:16  ...  iPhone       
11412  11413  2019-07-21 21:24:38  ...   Watch       
11413  11414  2019-07-21 21:32:20  ...   Watch       
...      ...                  ...  ...     ...    ...
11886  11887  2019-07-24 09:24:04  ...   Watch       
11887  11888  2019-07-24 09:25:06  ...   Watch       
11888  11889  2019-07-24 09:28:48  ...  iPhone       
11889  11890  2019-07-24 09:36:57  ...   Watch       
11890  11891  2019-07-24 09:39:00  ...   Watch       
11891  11892  2019-07-24 09:40:54  ...  iPhone       
11892  11893  2019-07-24 09:41:04  ...   Watch       
11893  11894  2019-07-24 09:50:54  ...  iPhone       
11894  11895  2019-07-24 09:51:02  ...   Watch       
11895  11896  2019-07-24 10:00:58  ...  iPhone       
11896  11897  2019-07-24 10:01:00  ...   Watch       
11897  11898  2019-07-24 10:02:01  ...   Watch       
11898  11899  2019-07-24 10:03:03  ...   Watch       
11899  11900  2019-07-24 10:04:04  ...   Watch       
11900  11901  2019-07-24 10:05:23  ...   Watch       
11901  11902  2019-07-24 10:15:22  ...   Watch       
11902  11903  2019-07-24 10:16:23  ...   Watch       
11903  11904  2019-07-24 10:17:51  ...   Watch       
11904  11905  2019-07-24 10:22:54  ...   Watch       
11905  11906  2019-07-24 10:31:45  ...   Watch       
11906  11907  2019-07-24 11:55:08  ...   Watch       
11907  11908  2019-07-24 12:01:33  ...  iPhone       
11908  11909  2019-07-24 12:07:02  ...   Watch       
11909  11910  2019-07-24 12:09:26  ...   Watch       
11910  11911  2019-07-24 12:12:14  ...   Watch       
11911  11912  2019-07-24 12:12:16  ...  iPhone       
11912  11913  2019-07-24 12:13:15  ...   Watch       
11913  11914  2019-07-24 12:53:36  ...   Watch       
16023  16024  2019-07-24 13:01:52  ...   Watch       
16024  16025  2019-07-24 13:06:52  ...   Watch       

[532 rows x 9 columns] 


       _id            timestamp  ... device  label
296    297  2019-07-12 13:48:57  ...  Watch       
297    298  2019-07-13 16:31:34  ...  Watch       
298    299  2019-07-13 16:32:36  ...  Watch       
299    300  2019-07-13 16:33:38  ...  Watch       
300    301  2019-07-13 16:34:39  ...  Watch       
301    302  2019-07-13 16:35:41  ...  Watch       
302    303  2019-07-13 16:36:43  ...  Watch       
303    304  2019-07-13 16:37:44  ...  Watch       
304    305  2019-07-13 16:38:26  ...  Watch       
305    306  2019-07-13 16:39:29  ...  Watch       
306    307  2019-07-13 16:40:31  ...  Watch       
307    308  2019-07-13 16:41:33  ...  Watch       
308    309  2019-07-13 16:42:34  ...  Watch       
309    310  2019-07-13 16:43:36  ...  Watch       
310    311  2019-07-13 16:44:38  ...  Watch       
311    312  2019-07-13 16:45:39  ...  Watch       
312    313  2019-07-13 16:46:41  ...  Watch       
313    314  2019-07-13 16:47:43  ...  Watch       
314    315  2019-07-13 16:48:45  ...  Watch       
315    316  2019-07-13 16:49:46  ...  Watch       
316    317  2019-07-13 16:50:48  ...  Watch       
317    318  2019-07-13 16:51:50  ...  Watch       
318    319  2019-07-13 16:52:52  ...  Watch       
319    320  2019-07-13 16:53:53  ...  Watch       
320    321  2019-07-13 16:54:55  ...  Watch       
321    322  2019-07-13 16:55:57  ...  Watch       
322    323  2019-07-13 16:56:59  ...  Watch       
323    324  2019-07-13 16:58:00  ...  Watch       
324    325  2019-07-13 16:59:04  ...  Watch       
325    326  2019-07-13 17:00:06  ...  Watch       
...    ...                  ...  ...    ...    ...
2228  2229  2019-07-15 09:49:09  ...  Watch       
2229  2230  2019-07-15 09:50:11  ...  Watch       
2230  2231  2019-07-15 09:51:13  ...  Watch       
2231  2232  2019-07-15 09:52:15  ...  Watch       
2232  2233  2019-07-15 09:52:46  ...  Watch       
2233  2234  2019-07-15 09:53:48  ...  Watch       
2234  2235  2019-07-15 09:54:49  ...  Watch       
2235  2236  2019-07-15 09:55:53  ...  Watch       
2236  2237  2019-07-15 09:56:57  ...  Watch       
2237  2238  2019-07-15 09:58:01  ...  Watch       
2238  2239  2019-07-15 09:59:02  ...  Watch       
2239  2240  2019-07-15 09:59:54  ...  Watch       
2240  2241  2019-07-15 10:00:55  ...  Watch       
2241  2242  2019-07-15 10:01:47  ...  Watch       
2242  2243  2019-07-15 10:02:49  ...  Watch       
2243  2244  2019-07-15 10:03:50  ...  Watch       
2244  2245  2019-07-15 10:04:42  ...  Watch       
2245  2246  2019-07-15 10:05:44  ...  Watch       
2246  2247  2019-07-15 10:06:46  ...  Watch       
2247  2248  2019-07-15 10:07:51  ...  Watch       
2248  2249  2019-07-15 10:08:53  ...  Watch       
2249  2250  2019-07-15 10:09:55  ...  Watch       
2250  2251  2019-07-15 10:10:57  ...  Watch       
2251  2252  2019-07-15 10:11:58  ...  Watch       
2252  2253  2019-07-15 10:12:39  ...  Watch       
2253  2254  2019-07-15 10:13:41  ...  Watch       
2254  2255  2019-07-15 10:14:33  ...  Watch       
2255  2256  2019-07-15 10:15:35  ...  Watch       
2256  2257  2019-07-15 10:16:26  ...  Watch       
2257  2258  2019-07-15 10:17:28  ...  Watch       

[1320 rows x 9 columns] 


       _id            timestamp  ... device  label
1216  1217  2019-07-14 14:54:15  ...  Watch       
1217  1218  2019-07-14 15:09:16  ...  Watch       
1218  1219  2019-07-14 15:24:26  ...  Watch       
1219  1220  2019-07-14 15:39:32  ...  Watch       
1220  1221  2019-07-14 15:54:38  ...  Watch       
1221  1222  2019-07-14 16:09:43  ...  Watch       
1222  1223  2019-07-14 16:24:49  ...  Watch       
1223  1224  2019-07-14 16:39:54  ...  Watch       
1224  1225  2019-07-14 16:54:59  ...  Watch       
1225  1226  2019-07-14 17:10:00  ...  Watch       
1226  1227  2019-07-14 17:25:08  ...  Watch       
1227  1228  2019-07-14 17:40:14  ...  Watch       
1228  1229  2019-07-14 17:56:01  ...  Watch       
1229  1230  2019-07-14 18:11:08  ...  Watch       
1230  1231  2019-07-14 18:26:24  ...  Watch       
1231  1232  2019-07-14 18:41:30  ...  Watch       
1232  1233  2019-07-14 18:56:48  ...  Watch       
1233  1234  2019-07-14 19:11:54  ...  Watch       
1234  1235  2019-07-14 19:27:00  ...  Watch       
1235  1236  2019-07-14 19:42:07  ...  Watch       
1236  1237  2019-07-14 19:57:07  ...  Watch       
1237  1238  2019-07-14 20:12:44  ...  Watch       
1238  1239  2019-07-14 20:27:50  ...  Watch       
1239  1240  2019-07-14 20:42:52  ...  Watch       
1240  1241  2019-07-14 20:58:51  ...  Watch       
1241  1242  2019-07-14 21:14:00  ...  Watch       
1242  1243  2019-07-14 21:29:05  ...  Watch       
1243  1244  2019-07-14 21:44:11  ...  Watch       
1244  1245  2019-07-14 21:59:17  ...  Watch       
2388  2389  2019-07-14 23:04:25  ...  Watch       
...    ...                  ...  ...    ...    ...
2399  2400  2019-07-15 01:54:22  ...  Watch       
2400  2401  2019-07-15 02:10:30  ...  Watch       
2401  2402  2019-07-15 02:26:28  ...  Watch       
2402  2403  2019-07-15 02:42:47  ...  Watch       
2403  2404  2019-07-15 02:58:15  ...  Watch       
2404  2405  2019-07-15 03:13:22  ...  Watch       
2405  2406  2019-07-15 03:28:39  ...  Watch       
2406  2407  2019-07-15 03:43:45  ...  Watch       
2407  2408  2019-07-15 03:59:02  ...  Watch       
2408  2409  2019-07-15 04:14:09  ...  Watch       
2409  2410  2019-07-15 04:29:36  ...  Watch       
2410  2411  2019-07-15 04:44:52  ...  Watch       
2411  2412  2019-07-15 05:00:29  ...  Watch       
2412  2413  2019-07-15 05:15:35  ...  Watch       
2413  2414  2019-07-15 05:30:41  ...  Watch       
2414  2415  2019-07-15 05:46:07  ...  Watch       
2415  2416  2019-07-15 06:01:34  ...  Watch       
2416  2417  2019-07-15 06:16:40  ...  Watch       
2417  2418  2019-07-15 06:31:46  ...  Watch       
2418  2419  2019-07-15 06:47:23  ...  Watch       
2419  2420  2019-07-15 07:02:28  ...  Watch       
2420  2421  2019-07-15 07:17:34  ...  Watch       
2421  2422  2019-07-15 07:32:50  ...  Watch       
2422  2423  2019-07-15 07:47:56  ...  Watch       
2423  2424  2019-07-15 08:03:01  ...  Watch       
2424  2425  2019-07-15 08:15:02  ...  Watch       
2425  2426  2019-07-15 09:09:05  ...  Watch       
2426  2427  2019-07-15 09:24:06  ...  Watch       
2427  2428  2019-07-15 09:39:12  ...  Watch       
2428  2429  2019-07-15 09:54:39  ...  Watch       

[70 rows x 9 columns] 


       _id            timestamp  ...  device  label
770    771  2019-07-12 14:54:14  ...   Watch       
771    772  2019-07-12 14:57:15  ...   Watch       
772    773  2019-07-12 15:00:40  ...   Watch       
773    774  2019-07-12 15:03:15  ...   Watch       
774    775  2019-07-12 15:04:15  ...   Watch       
775    776  2019-07-12 15:05:17  ...   Watch       
776    777  2019-07-12 15:06:17  ...   Watch       
777    778  2019-07-12 15:07:19  ...   Watch       
778    779  2019-07-12 15:08:20  ...   Watch       
779    780  2019-07-12 15:09:22  ...   Watch       
780    781  2019-07-12 15:12:24  ...   Watch       
781    782  2019-07-12 15:13:34  ...   Watch       
